text,label
"Shocking: All birds are government surveillance drones, expert confirms.",Fake
Stock market shows mixed results following economic data release.,Real
City council approves plan to expand public transportation network.,Real
Medical journal publishes results of long-term nutrition study.,Real
"Ancient aliens built the pyramids using anti-gravity technology, proof found.",Fake
Local hospital expands emergency services to meet community needs.,Real
New study shows benefits of Mediterranean diet for heart health.,Real
Climate change report warns of increased extreme weather events in coming decades.,Real
NASA launches new satellite to study climate change effects on polar ice.,Real
Bill Gates admits to putting mind control chips in all Windows computers.,Fake
Government admits: Chemtrails are real and controlling our minds daily.,Fake
Study shows that 5G towers are directly causing coronavirus spread worldwide.,Fake
University researchers make breakthrough in quantum computing technology.,Real
Secret documents prove moon landing was filmed in Hollywood basement.,Fake
"Aliens spotted in Area 51, military confirms UFO landing caught on camera.",Fake
"Breaking: President secretly replaced by robot clone, insider sources confirm.",Fake
Tech company announces investment in artificial intelligence research.,Real
New policy aims to reduce carbon emissions from transportation sector.,Real
Research institution receives grant to study biodiversity conservation.,Real
Breaking: Illuminati headquarters discovered beneath White House lawn.,Fake
"Scientists say the sun will explode next Tuesday, prepare for apocalypse!",Fake
Doctors hate this one simple trick to lose 50 pounds overnight!,Fake
"Magnetic bracelets cure cancer, diabetes, and all known diseases instantly.",Fake
Supreme Court hears arguments on environmental regulation case.,Real
Recent survey indicates increase in remote work arrangements nationwide.,Real
Breaking: Scientists confirm the Earth is actually flat and NASA has been lying for decades!,Fake
Meteorologists predict above-average rainfall for upcoming season.,Real
Federal Reserve raises interest rates by 0.25% to combat inflation.,Real
Research team discovers potential new antibiotic from ocean bacteria.,Real
Local mom discovers one weird trick that doctors don't want you to know about!,Fake
Scientists develop new treatment showing promise in early-stage cancer trials.,Real
Breaking news: Time travel discovered by teenager in basement laboratory.,Fake
New renewable energy project brings jobs to rural community.,Real
"Shocking discovery: Drinking 10 cups of coffee daily cures all types of cancer, doctors say.",Fake
"Miracle water from this village fountain grants immortality, scientists shocked.",Fake
"URGENT: Government microchips found in all COVID-19 vaccines, whistleblower reveals!",Fake
Governor signs bill expanding funding for infrastructure projects.,Real
International trade agreement signed between multiple countries.,Real
"Study shows eating only candy is healthier than vegetables, doctors confirm.",Fake
Archaeological team uncovers ancient settlement in desert region.,Real
New research shows that video games cause immediate brain damage in children.,Fake
Government secretly replaced all birds with robot spies in the 1970s.,Fake
"New vaccine turns people into zombies within 48 hours, reports say.",Fake
Scientists observe rare astronomical event visible from Earth.,Real
Breaking: Flat Earth Society discovers edge of the world in Antarctica.,Fake
Miracle cure: Eating ice cream for breakfast prevents all diseases forever.,Fake
Study examines effects of screen time on adolescent mental health.,Real
Study reveals that drinking gasoline improves athletic performance.,Fake
Local school district approves budget increase for technology upgrades.,Real
Health officials recommend updated vaccine guidelines for flu season.,Real
